Non-terminals/Terminals,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_GT,TK_LT,TK_EQ,TK_NE,TK_LE,TK_GE,TK_AND,TK_OR,TK_NOT,TK_ASSIGNOP,TK_DOT,TK_COMMA,TK_COLON,TK_SEM,TK_OP,TK_CL,TK_SQL,TK_SQR,TK_ID,TK_FUNID,TK_FIELDID,TK_RUID,TK_NUM,TK_RNUM,TK_INT,TK_REAL,TK_LIST,TK_RECORD,TK_UNION,TK_TYPE,TK_IF,TK_THEN,TK_ELSE,TK_ENDIF,TK_WHILE,TK_ENDWHILE,TK_MAIN,TK_PARAMETERS,TK_PARAMETER,TK_GLOBAL,TK_RETURN,TK_CALL,TK_INPUT,TK_OUTPUT,TK_READ,TK_WRITE,TK_DEFINETYPE,TK_WITH,TK_AS,TK_END,TK_ENDRECORD,TK_ENDUNION,TK_COMMENT,EPS,END_OF_INPUT,
inputParameters,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<inputParameters> ---> TK_SQL <idList> TK_SQR ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
outputParameters,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<outputParameters> ---> TK_SQL <idList> TK_SQR TK_ASSIGNOP ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<outputParameters> ---> EPS ,-,-,-,-,-,-,-,-,-,-,-,-,-,
declarations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<declarations> ---> EPS ,-,<declarations> ---> EPS ,-,-,-,-,-,-,-,-,-,-,<declarations> ---> <declaration> <declarations> ,<declarations> ---> EPS ,-,-,-,<declarations> ---> EPS ,-,-,-,-,-,<declarations> ---> EPS ,<declarations> ---> EPS ,-,-,<declarations> ---> EPS ,<declarations> ---> EPS ,-,-,-,-,-,-,-,-,-,
declaration,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<declaration> ---> TK_TYPE <dataType> TK_COLON TK_ID <global_or_not> TK_SEM ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
global_or_not,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<global_or_not> ---> TK_COLON TK_GLOBAL ,<global_or_not> ---> EPS ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
dataType,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<dataType> ---> <constructedDatatype> ,-,-,<dataType> ---> <primitiveDatatype> ,<dataType> ---> <primitiveDatatype> ,-,<dataType> ---> <constructedDatatype> ,<dataType> ---> <constructedDatatype> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
primitiveDatatype,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<primitiveDatatype> ---> TK_INT ,<primitiveDatatype> ---> TK_REAL ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
constructedDatatype,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<constructedDatatype> ---> TK_RUID ,-,-,-,-,-,<constructedDatatype> ---> TK_RECORD TK_RUID ,<constructedDatatype> ---> TK_UNION TK_RUID ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
typeDefinitions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<typeDefinitions> ---> EPS ,-,<typeDefinitions> ---> EPS ,-,-,-,-,-,-,-,-,<typeDefinitions> ---> <actualOrRedefined> <typeDefinitions> ,<typeDefinitions> ---> <actualOrRedefined> <typeDefinitions> ,<typeDefinitions> ---> EPS ,<typeDefinitions> ---> EPS ,-,-,-,<typeDefinitions> ---> EPS ,-,-,-,-,-,<typeDefinitions> ---> EPS ,<typeDefinitions> ---> EPS ,-,-,<typeDefinitions> ---> EPS ,<typeDefinitions> ---> EPS ,<typeDefinitions> ---> <actualOrRedefined> <typeDefinitions> ,-,-,-,-,-,-,-,-,
typeDefinition,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<typeDefinition> ---> TK_RECORD TK_RUID <fieldDefinitions> TK_ENDRECORD ,<typeDefinition> ---> TK_UNION TK_RUID <fieldDefinitions> TK_ENDUNION ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
definetypestmt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<definetypestmt> ---> TK_DEFINETYPE <A> TK_RUID TK_AS TK_RUID ,-,-,-,-,-,-,-,-,
actualOrRedefined,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<actualOrRedefined> ---> <typeDefinition> ,<actualOrRedefined> ---> <typeDefinition> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<actualOrRedefined> ---> <definetypestmt> ,-,-,-,-,-,-,-,-,
fieldDefinitions,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<fieldDefinitions> ---> <fieldDefinition> <fieldDefinition> <moreFields> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
fieldDefinition,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<fieldDefinition> ---> TK_TYPE <fieldtype> TK_COLON TK_FIELDID TK_SEM ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
fieldtype,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<fieldtype> ---> <constructedDatatype> ,-,-,<fieldtype> ---> <primitiveDatatype> ,<fieldtype> ---> <primitiveDatatype> ,-,<fieldtype> ---> <constructedDatatype> ,<fieldtype> ---> <constructedDatatype> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
moreFields,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<moreFields> ---> <fieldDefinition> <moreFields> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<moreFields> ---> EPS ,<moreFields> ---> EPS ,-,-,-,
assignmentStmt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<assignmentStmt> ---> <singleOrRecId> TK_ASSIGNOP <arithmeticExpression> TK_SEM ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
funCallStmt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<funCallStmt> ---> <outputParameters> TK_CALL TK_FUNID TK_WITH TK_PARAMETERS <inputParameters> TK_SEM ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<funCallStmt> ---> <outputParameters> TK_CALL TK_FUNID TK_WITH TK_PARAMETERS <inputParameters> TK_SEM ,-,-,-,-,-,-,-,-,-,-,-,-,-,
iterativeStmt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<iterativeStmt> ---> TK_WHILE TK_OP <booleanExpression> TK_CL <stmt> <otherStmts> TK_ENDWHILE ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
conditionalStmt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<conditionalStmt> ---> TK_IF TK_OP <booleanExpression> TK_CL TK_THEN <stmt> <otherStmts> <elsePart> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
ioStmt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<ioStmt> ---> TK_READ TK_OP <var> TK_CL TK_SEM ,<ioStmt> ---> TK_WRITE TK_OP <var> TK_CL TK_SEM ,-,-,-,-,-,-,-,-,-,
returnStmt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<returnStmt> ---> TK_RETURN <optionalReturn> TK_SEM ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
optionalReturn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<optionalReturn> ---> EPS ,-,-,<optionalReturn> ---> TK_SQL <idList> TK_SQR ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
elsePart,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<elsePart> ---> TK_ELSE <stmt> <otherStmts> TK_ENDIF ,<elsePart> ---> TK_ENDIF ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
arithmeticExpression,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<arithmeticExpression> ---> <term> <expPrime> ,-,-,-,<arithmeticExpression> ---> <term> <expPrime> ,-,-,-,<arithmeticExpression> ---> <term> <expPrime> ,<arithmeticExpression> ---> <term> <expPrime> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
expPrime,<expPrime> ---> <lowPrecedenceOperators> <term> <expPrime> ,<expPrime> ---> <lowPrecedenceOperators> <term> <expPrime> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<expPrime> ---> EPS ,-,<expPrime> ---> EPS ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
term,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,<term> ---> <factor> <termPrime> ,-,-,-,<term> ---> <factor> <termPrime> ,-,-,-,<term> ---> <factor> <termPrime> ,<term> ---> <factor> <termPrime> ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
termPrime,<termPrime> ---> EPS ,<termPrime> ---> EPS ,<termPrime> ---> <highPrecedenceOperators> <factor> <termPrime> ,<termPrime> ---> <highPrecedenceOperators> <factor> <termPrime> ,-,-,-,-,-,-,-,-,-,-,-,-,-,<termPrime> ---> EPS ,-,<termPrime> ---> EPS ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
