Non-terminals/Terminals,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_GT,TK_LT,TK_EQ,TK_NE,TK_LE,TK_GE,TK_AND,TK_OR,TK_NOT,TK_ASSIGNOP,TK_DOT,TK_COMMA,TK_COLON,TK_SEM,TK_OP,TK_CL,TK_SQL,TK_SQR,TK_ID,TK_FUNID,TK_FIELDID,TK_RUID,TK_NUM,TK_RNUM,TK_INT,TK_REAL,TK_LIST,TK_RECORD,TK_UNION,TK_TYPE,TK_IF,TK_THEN,TK_ELSE,TK_ENDIF,TK_WHILE,TK_ENDWHILE,TK_MAIN,TK_PARAMETERS,TK_PARAMETER,TK_GLOBAL,TK_RETURN,TK_CALL,TK_INPUT,TK_OUTPUT,TK_READ,TK_WRITE,TK_DEFINETYPE,TK_WITH,TK_AS,TK_END,TK_ENDRECORD,TK_ENDUNION,TK_COMMENT,EPS,END_OF_INPUT,
outputParameters,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,<outputParameters> ---> TK_SQL <idList> TK_SQR TK_ASSIGNOP ,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,<outputParameters> ---> EPS ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
declarations,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,<declarations> ---> EPS ,SYN,<declarations> ---> EPS ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<declarations> ---> <declaration> <declarations> ,<declarations> ---> EPS ,ERROR,SYN,SYN,<declarations> ---> EPS ,SYN,ERROR,ERROR,ERROR,ERROR,<declarations> ---> EPS ,<declarations> ---> EPS ,ERROR,ERROR,<declarations> ---> EPS ,<declarations> ---> EPS ,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
declaration,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<declaration> ---> TK_TYPE <dataType> TK_COLON TK_ID <global_or_not> TK_SEM ,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
global_or_not,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<global_or_not> ---> TK_COLON TK_GLOBAL ,<global_or_not> ---> EPS ,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
dataType,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,SYN,SYN,ERROR,ERROR,<dataType> ---> <constructedDatatype> ,ERROR,ERROR,<dataType> ---> <primitiveDatatype> ,<dataType> ---> <primitiveDatatype> ,ERROR,<dataType> ---> <constructedDatatype> ,<dataType> ---> <constructedDatatype> ,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
primitiveDatatype,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<primitiveDatatype> ---> TK_INT ,<primitiveDatatype> ---> TK_REAL ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
constructedDatatype,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,<constructedDatatype> ---> TK_RUID ,ERROR,ERROR,ERROR,ERROR,ERROR,<constructedDatatype> ---> TK_RECORD TK_RUID ,<constructedDatatype> ---> TK_UNION TK_RUID ,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
typeDefinitions,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,<typeDefinitions> ---> EPS ,SYN,<typeDefinitions> ---> EPS ,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<typeDefinitions> ---> <actualOrRedefined> <typeDefinitions> ,<typeDefinitions> ---> <actualOrRedefined> <typeDefinitions> ,<typeDefinitions> ---> EPS ,<typeDefinitions> ---> EPS ,ERROR,SYN,SYN,<typeDefinitions> ---> EPS ,SYN,ERROR,ERROR,ERROR,ERROR,<typeDefinitions> ---> EPS ,<typeDefinitions> ---> EPS ,ERROR,ERROR,<typeDefinitions> ---> EPS ,<typeDefinitions> ---> EPS ,<typeDefinitions> ---> <actualOrRedefined> <typeDefinitions> ,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
typeDefinition,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<typeDefinition> ---> TK_RECORD TK_RUID <fieldDefinitions> TK_ENDRECORD ,<typeDefinition> ---> TK_UNION TK_RUID <fieldDefinitions> TK_ENDUNION ,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
definetypestmt,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<definetypestmt> ---> TK_DEFINETYPE <A> TK_RUID TK_AS TK_RUID ,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
actualOrRedefined,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,SYN,SYN,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<actualOrRedefined> ---> <typeDefinition> ,<actualOrRedefined> ---> <typeDefinition> ,SYN,SYN,ERROR,SYN,SYN,SYN,SYN,ERROR,ERROR,ERROR,ERROR,SYN,SYN,ERROR,ERROR,SYN,SYN,<actualOrRedefined> ---> <definetypestmt> ,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
fieldDefinitions,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<fieldDefinitions> ---> <fieldDefinition> <fieldDefinition> <moreFields> ,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
fieldDefinition,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,ERROR,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,<fieldDefinition> ---> TK_TYPE <fieldtype> TK_COLON TK_FIELDID TK_SEM ,ERROR,ERROR,SYN,SYN,ERROR,SYN,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR,SYN,SYN,SYN,ERROR,ERROR,ERROR,
